Posicion;Largometraje;Nacionalidad;Distribuidora;Recaudación;Año;RelPib;Puntuacion;TasteInd
1;10;2;17;55163074,9;2014;24,22;0,297112844248009;7,00331352491154
1;34;3;10;50420212,36;2010;21,73;1,98459841594787;5,97495834679368
1;207;2;28;41009378,41;2012;18,18;0,556726009124911;4,62383475510598
1;257;2;25;31486085,89;2015;13,51;-1,64998589232875;3,3627860695308
1;311;3;24;28778510,78;2004;14,32;0,167306261809559;3,31774861647454
1;270;3;21;27897542,82;2006;12,29;0,556726009124911;2,55211191451818
1;323;3;4;22599561,77;2002;12,49;0,297112844248009;2,54085255125412
2;74;3;20;26732974,51;2006;11,78;-0,092306903067342;2,47704949275775
1;136;2;29;22827620,68;2003;12,01;-1,5201793098903;2,3794683444692
2;237;3;25;23996590,96;2015;10,3;-0,222113485505792;2,24060286421241
2;273;3;21;22169705,29;2003;11,67;1,20575892131716;2,10549050504364
1;351;2;25;26030151,93;2016;10,8;0,297112844248009;2,03418120437123
2;301;3;3;21857582,44;2012;9,69;-0,611533232821145;1,98163750913893
2;343;3;21;24874668,34;2010;10,72;1,33556550375561;1,9591187826108
3;192;3;25;21993812,55;2015;9,44;-0,092306903067342;1,89531572411444
3;20;3;21;22769133,43;2010;9,81;-0,222113485505792;1,89156260302642
2;150;6;29;19495262,4;2002;10,77;1,07595233887871;1,86904387649829
2;348;6;29;20549205,52;2004;10,22;0,42691942668646;1,84652514997016
2;226;3;25;21252545,15;2016;8,82;-0,871146397698045;1,8352657867061
1;102;3;21;24618756,56;2009;10,57;1,59517866863251;1,82025330235401
6;72;3;25;19529367,43;2015;8,38;-1,7797924747672;1,79773457582588
2;34;3;10;22983897,62;2009;9,86;0,816339174001812;1,69264718536129
3;312;3;25;22065328,58;2007;9,23;-0,741339815259595;1,66637533774514
3;168;3;10;21686200,92;2009;9,31;-0,092306903067342;1,64760973230503
4;329;3;21;21804042,75;2015;9,36;1,20575892131716;1,63635036904097
2;271;3;21;22774989,1;2007;9,53;0,42691942668646;1,5725473105446
5;92;3;21;21787682,41;2015;9,35;1,72498525107097;1,53876922075241
1;173;3;25;20859240,09;2008;8,58;-1,13075956257495;1,52750985748835
3;300;3;3;18943848,91;2011;8,27;-1,0009529801365;1,48622552552011
4;53;3;21;19019641,46;2003;10,01;1,33556550375561;1,45995367790396
4;108;3;3;19185912,65;2010;8,27;-1,0009529801365;1,45244743572792
1;259;2;28;24317951,82;2007;10,17;0,686532591563361;1,42992870919979
4;327;3;10;16789644,19;2002;9,28;-0,222113485505792;1,42992870919979
5;302;3;3;18810154,35;2009;8,07;-1,2605661450134;1,39239749831958
5;75;3;21;17276858,57;2003;9,09;-0,222113485505792;1,39239749831958
2;272;3;21;18950126,51;2011;8,28;-0,222113485505792;1,35111316635134
4;350;3;29;18652300,26;2004;9,28;0,946145756440262;1,28731010785498
1;340;2;28;19345503,32;2011;8,45;-1,2605661450134;1,26479138132685
3;167;3;10;19307960,91;2006;8,51;-0,092306903067342;1,24977889697476
1;328;3;10;18788480,0516;2005;8,82;0,686532591563361;1,19348208065444
6;229;3;29;16627931,48;2003;8,75;0,167306261809559;1,19348208065444
2;147;6;29;18502764,2999;2005;8,69;1,20575892131716;1,16721023303829
3;36;2;16;18016633,93;2012;7,99;-1,2605661450134;1,12217277998204
3;339;2;24;18157984,0733;2005;8,52;-1,39037272745185;1,11466653780599
3;222;2;29;19353426,59;2004;9,63;0,816339174001812;1,10716029562995
5;325;3;20;18289635,68;2007;7,65;-0,871146397698045;1,09965405345391
4;37;3;20;17626674,23;2011;7,7;0,167306261809559;1,06587596366172
3;52;3;21;17523161,9;2016;7,27;0,297112844248009;1,04711035822161
4;13;2;10;20405735,32;2009;8,76;0,42691942668646;1,01333226842942
4;142;3;24;16475936,63;2005;7,74;-0,481726650382693;0,998319784077331
6;244;3;21;15937546,59;2002;8,81;1,20575892131716;0,998319784077331
5;172;3;21;16915519,18;2004;8,42;1,07595233887871;0,94202296775701
4;204;3;21;16672073,69;2016;6,92;0,167306261809559;0,938269846668989
6;313;3;16;16055045,96;2010;6,92;-0,741339815259595;0,900738635788775
4;316;3;10;18449931,94;2007;7,72;0,42691942668646;0,893232393612732
6;149;6;29;16298400,46;2004;8,11;1,46537208619406;0,870713667084604
7;324;3;4;15591345,96;2004;7,76;0,167306261809559;0,855701182732518
7;169;3;10;15165086,9;2012;6,72;-0,481726650382693;0,844441819468454
9;95;3;10;14501959,4;2004;7,21;-0,481726650382693;0,765626276620005
6;224;3;21;16207817,23;2012;7,18;1,07595233887871;0,739354429003856
2;145;3;20;16254539,31;2008;6,69;-0,481726650382693;0,701823218123642
6;151;6;28;17227618,44;2007;7,21;1,07595233887871;0,698070097035621
7;5;3;20;14408233,69;2009;6,18;-1,2605661450134;0,683057612683535
5;260;6;28;16933578,89;2010;7,3;1,98459841594787;0,671798249419471
7;254;3;29;14024993,42;2002;7,75;0,816339174001812;0,671798249419471
6;27;3;20;15605231,61;2009;6,7;-0,092306903067342;0,66804512833145
9;275;3;20;13519327,1;2011;5,9;-1,39037272745185;0,664292007243428
8;369;3;10;14554622,29;2004;7,24;0,167306261809559;0,660538886155407
4;17;2;10;16489511,68;2006;7,26;-1,2605661450134;0,653032643979364
8;48;3;21;14716212,62;2012;6,52;0,167306261809559;0,653032643979364
5;153;6;28;15893965,53;2011;6,94;1,72498525107097;0,61550143309915
2;248;2;10;15902862,88;2014;6,98;-0,092306903067342;0,604242069835086
6;107;3;16;14085367,39;2011;6,15;-0,222113485505792;0,551698374602787
1;85;3;10;13777179,91;2013;6,12;0,297112844248009;0,514167163722573
5;264;3;24;13618065,765;2005;6,39;-0,611533232821145;0,514167163722573
8;9;3;10;12682960,145;2005;5,95;-1,2605661450134;0,461623468490274
8;128;6;28;12007008,4;2010;5,18;-1,2605661450134;0,45036410522621
7;6;3;28;15000977,29;2007;6,28;-0,092306903067342;0,446610984138188
5;290;3;10;14360338,53;2016;5,96;0,946145756440262;0,439104741962146
6;214;3;24;13598279,1499;2005;6,38;0,037499679371108;0,394067288905889
3;218;6;21;12527245,55;2014;5,5;0,556726009124911;0,382807925641825
7;261;3;10;14041225,09;2011;6,13;0,686532591563361;0,382807925641825
9;334;3;4;11483984,1;2003;6,04;-0,871146397698045;0,360289199113697
2;139;3;25;13078170,37;2013;5,81;0,556726009124911;0,352782956937654
8;170;3;10;12354356,38;2002;6,83;0,686532591563361;0,349029835849632
7;28;6;28;12859730,7;2016;5,34;0,816339174001812;0,34152359367359
7;124;3;25;13441604,24;2015;5,77;0,946145756440262;0,334017351497547
7;82;3;21;13359603,77;2005;6,27;0,167306261809559;0,330264230409526
8;148;6;28;13971647,58;2009;6;1,07595233887871;0,311498624969419
6;241;3;25;12176922,96;2008;5,01;-1,7797924747672;0,300239261705355
12;18;6;23;11089138,3465;2005;5,21;-1,2605661450134;0,296486140617333
12;233;3;4;10953644,96;2002;6,05;-0,611533232821145;0,285226777353269
8;114;3;21;13683334,96;2011;5,98;1,07595233887871;0,258954929737119
9;116;3;28;11141826,94;2016;4,62;-0,871146397698045;0,258954929737119
11;205;3;10;10720216,94;2003;5,64;-1,13075956257495;0,258954929737119
10;326;3;10;12608790,45;2005;5,92;-0,092306903067342;0,243942445385034
6;370;3;21;13665599,35;2016;5,67;1,46537208619406;0,236436203208991
11;305;3;21;10989614;2002;6,07;-0,222113485505792;0,225176839944927
4;220;3;25;13451570,31;2008;5,54;-0,222113485505792;0,225176839944927
4;143;3;16;11883891,85;2013;5,28;0,167306261809559;0,221423718856906
5;215;3;16;13088984,98;2008;5,39;-0,481726650382693;0,213917476680863
7;152;6;28;13129082,71;2010;5,66;1,20575892131716;0,195151871240756
4;21;3;10;12415674,94;2014;5,45;0,946145756440262;0,18013938688867
6;188;3;3;11360255,37;2014;4,99;0,037499679371108;0,168880023624606
9;262;2;21;12172898,07;2002;6,73;-0,351920067944243;0,157620660360543
3;196;3;25;13720895,09;2008;5,65;0,42691942668646;0,150114418184499
12;332;3;25;11051464,44;2012;4,9;-0,351920067944243;0,138855054920435
10;352;3;24;12000508,26;2002;6,63;1,46537208619406;0,135101933832414
10;230;3;29;10882604,37;2003;5,73;-0,222113485505792;0,131348812744393
13;41;3;28;9998320,71;2016;4,15;-1,13075956257495;0,127595691656371
12;292;6;21;10321676,61;2004;5,14;-0,611533232821145;0,12384257056835
8;356;3;21;12076545,76;2015;5,18;0,946145756440262;0,112583207304286
5;62;3;21;12580151,02;2006;5,54;0,037499679371108;0,112583207304286
9;251;3;10;12711395,15;2007;5,32;-0,222113485505792;0,108830086216264
10;63;3;21;10508944,66;2011;4,59;-1,0009529801365;0,105076965128243
8;286;3;21;14305704,98;2007;5,99;1,20575892131716;0,105076965128243
11;274;3;20;9500114,63;2013;4,22;-1,39037272745185;0,101323844040222
10;55;6;28;11936954,6;2012;5,29;1,33556550375561;0,0975707229522002
11;267;3;3;11651298,18;2004;5,8;0,42691942668646;0,0750519964240719
